CO,AB,FACID,DIS,FNAME,FSTREET,FCITY,FZIP,FSIC,COID,DISN,CHAPIS,CERR_CODE,TOGT,ROGT,COT,NOXT,SOXT,PMT,PM10T,lat,lon
10,SJV,5883,SJU,CITY OF FRESNO,5630 E PARK CIRCLE DR,FRESNO,,9224,FRE,SAN JOAQUIN VALLEY APCD,,,.0001718838929994308480364257256687535572,.000151,.000508,.004,.00000552,.000154713114754098360655737704918032786885,.000151,36.731072141663,-119.698112271411
10,SJV,6969,SJU,CITY OF FRESNO,707 O ST,FRESNO,93721,9199,FRE,SAN JOAQUIN VALLEY APCD,,,.00070233352305065452475811041548093340922,.000617,.00127,.0184,.000017,.000342213114754098360655737704918032786885,.000334,36.73384,-119.78279
10,SJV,7368,SJU,CITY OF FRESNO,1802 E CALIFORNIA AVE,FRESNO,93706,9199,FRE,SAN JOAQUIN VALLEY APCD,,,.000260671599317017643710870802504268639727,.000229,.00296,.00326,.00000614,.000135245901639344262295081967213114754098,.000132,36.72086,-119.79054
10,SJV,7875,SJU,CITY OF FRESNO,3295 S CHERRY AVE,FRESNO,,9511,FRE,SAN JOAQUIN VALLEY APCD,,,.00001149686966420034149117814456459874786568,.0000101,.0273,.000443,.00000103,.00001239754098360655737704918032786885245902,.0000121,36.68711,-119.78208
10,SJV,3852,SJU,CITY OF FRESNO (SOLID WASTE MGT DIV),1325 E EL DORADO,FRESNO,93706,4953,FRE,SAN JOAQUIN VALLEY APCD,,,.000356061468412066021627774615822424587365,.0003128,.002453,.01227,.000008393,.000539446721311475409836065573770491803278,.0005265,36.5990430897005,-119.434977649783
10,SJV,7495,SJU,CITY OF FRESNO - AIRPORT,4995 E CLINTON WAY,FRESNO,93727,4581,FRE,SAN JOAQUIN VALLEY APCD,,,.12315,.12315,0,0,0,0,0,36.77242,-119.72734
10,SJV,2930,SJU,CITY OF FRESNO - AIRPORTS,5175 E CLINTON WAY - TERMINAL BLDG,FRESNO,93722,4581,FRE,SAN JOAQUIN VALLEY APCD,,,.0311388730791121229368241320432555492316,.0273555,.267773418,.493097325,.00038782,.0121471311475409836065573770491803278688,.0118556,36.766917128006,-119.719559446407
10,SJV,3883,SJU,CITY OF FRESNO - TRAFFIC ENGINEERING,1077 VAN NESS,FRESNO,0,4941,FRE,SAN JOAQUIN VALLEY APCD,,,.008088077336197636949516648764769065520945,.000753,.0935,.0569,.0000716,.000481891348088531187122736418511066398391,.000479,36.73495,-119.78991
10,SJV,5951,SJU,CITY OF FRESNO CONSTRUCTION MANAGEMENT,1107 E CHAMPLAIN AVE (LIFT STATION #6),FRESNO,,9199,FRE,SAN JOAQUIN VALLEY APCD,,,.000483351235230934479054779806659505907626,.000045,.00075,.00047,.00000225,.00001609657947686116700201207243460764587525,.000016,36.7406616210938,-119.785758972168
10,SJV,7557,SJU,CITY OF FRESNO FIRE DEPARTMENT,3187 W BELMONT AVE,FRESNO,93722,9224,FRE,SAN JOAQUIN VALLEY APCD,,,.000303927148548662492885600455321570859419,.000267,.00345,.003787,.00000716,.000158094262295081967213114754098360655737,.0001543,36.74825,-119.84622
